<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
29.01.2019,10:00:00,157.050,158.130,156.910,157.325,1784874,155.908,156.345,156.938,0.28,0.08,0.21,0.00
29.01.2019,10:15:00,157.330,157.980,156.830,156.920,1580969,155.983,156.460,157.033,0.32,0.13,0.19,0.00
29.01.2019,10:30:00,156.920,157.050,156.530,157.048,1133362,156.062,156.578,157.008,0.36,0.17,0.18,0.00
29.01.2019,10:45:00,157.050,157.100,156.040,156.340,1084754,156.082,156.530,156.955,0.32,0.20,0.12,0.00
29.01.2019,11:00:00,156.359,156.519,155.520,155.760,981760,156.059,156.376,156.851,0.25,0.21,0.04,0.00
29.01.2019,11:15:00,155.750,155.840,155.340,155.760,840559,156.036,156.253,156.747,0.19,0.21,-0.02,0.00
29.01.2019,11:30:00,155.770,155.810,155.245,155.726,818307,156.013,156.148,156.659,0.13,0.19,-0.06,0.00
29.01.2019,11:45:00,155.740,156.315,155.540,156.280,959965,156.033,156.174,156.600,0.13,0.18,-0.05,0.00
29.01.2019,12:00:00,156.285,156.500,156.090,156.410,757466,156.061,156.221,156.583,0.14,0.17,-0.03,0.00
29.01.2019,12:15:00,156.400,156.480,155.990,156.340,594287,156.082,156.245,156.569,0.14,0.17,-0.02,0.00
29.01.2019,12:30:00,156.335,156.990,156.280,156.570,640895,156.118,156.310,156.568,0.16,0.17,-0.01,0.00
29.01.2019,12:45:00,156.581,156.860,156.410,156.770,547945,156.166,156.402,156.572,0.19,0.17,0.02,0.00
29.01.2019,13:00:00,156.770,157.000,156.650,156.745,513872,156.209,156.471,156.580,0.20,0.18,0.03,0.00
29.01.2019,13:15:00,156.741,156.750,156.040,156.040,609906,156.197,156.384,156.393,0.16,0.17,-0.01,0.00
29.01.2019,13:30:00,156.030,156.280,155.975,156.115,643188,156.191,156.331,156.242,0.13,0.16,-0.04,0.00
29.01.2019,13:45:00,156.120,156.370,155.950,156.300,668486,156.199,156.324,156.222,0.12,0.16,-0.04,0.00
29.01.2019,14:00:00,156.300,156.390,156.010,156.115,533272,156.192,156.283,156.218,0.09,0.14,-0.05,0.00
29.01.2019,14:15:00,156.118,156.180,155.795,155.820,680962,156.165,156.190,155.978,0.05,0.12,-0.08,0.00
29.01.2019,14:30:00,155.820,155.830,155.050,155.101,1087328,156.086,155.972,155.654,-0.04,0.09,-0.13,0.00
29.01.2019,14:45:00,155.100,155.410,155.080,155.205,852337,156.021,155.819,155.506,-0.11,0.05,-0.16,0.00
29.01.2019,15:00:00,155.208,155.250,154.620,154.710,1115552,155.924,155.597,155.339,-0.20,0.00,-0.20,0.00
29.01.2019,15:15:00,154.730,154.870,154.460,154.590,1290958,155.825,155.396,155.165,-0.27,-0.05,-0.22,0.00
29.01.2019,15:30:00,154.590,154.840,154.210,154.320,1563371,155.713,155.181,155.005,-0.35,-0.11,-0.24,0.00
29.01.2019,15:45:00,154.330,154.700,154.280,154.670,1885744,155.636,155.078,154.892,-0.38,-0.17,-0.21,0.00
29.01.2019,16:00:00,154.660,154.830,154.110,154.638,2908535,155.562,154.990,154.807,-0.40,-0.21,-0.19,0.00
30.01.2019,09:45:00,163.250,163.330,161.355,161.420,6778597,155.996,156.276,162.339,0.13,-0.14,0.27,0.00
30.01.2019,10:00:00,161.440,162.070,160.660,160.778,3381868,156.350,157.177,161.972,0.49,-0.02,0.51,0.00
30.01.2019,10:15:00,160.775,161.650,160.230,161.564,3237675,156.737,158.054,161.750,0.83,0.15,0.68,0.00
30.01.2019,10:30:00,161.575,162.281,161.230,162.090,1866973,157.133,158.861,161.756,1.13,0.35,0.78,0.00
30.01.2019,10:45:00,162.130,162.440,161.800,162.003,1755188,157.494,159.490,161.791,1.34,0.55,0.80,0.00
30.01.2019,11:00:00,162.020,162.680,161.970,162.540,1693005,157.868,160.100,161.837,1.54,0.75,0.79,0.00
30.01.2019,11:15:00,162.550,162.848,162.350,162.580,1650245,158.217,160.596,161.897,1.68,0.93,0.75,0.00
30.01.2019,11:30:00,162.590,163.135,162.550,162.660,1868876,158.546,161.009,161.968,1.78,1.10,0.67,0.00
30.01.2019,11:45:00,162.650,162.700,161.930,162.320,1434326,158.825,161.271,161.994,1.80,1.24,0.56,0.00
30.01.2019,12:00:00,162.330,162.410,161.850,162.304,861520,159.083,161.478,162.002,1.80,1.35,0.45,0.00
30.01.2019,12:15:00,162.310,162.340,161.900,162.250,860418,159.318,161.632,162.009,1.78,1.44,0.34,0.00
30.01.2019,12:30:00,162.257,162.480,162.100,162.320,1272791,159.540,161.770,162.022,1.74,1.50,0.24,0.00
30.01.2019,12:45:00,162.312,162.730,161.980,162.720,1226192,159.776,161.960,162.040,1.73,1.55,0.18,0.00
30.01.2019,13:00:00,162.730,163.000,162.560,162.855,1239807,160.004,162.139,162.072,1.71,1.58,0.13,0.00
30.01.2019,13:15:00,162.855,163.250,162.780,162.880,1172401,160.217,162.287,162.941,1.68,1.60,0.08,0.00
30.01.2019,13:30:00,162.890,163.120,162.420,162.940,925827,160.418,162.418,162.898,1.64,1.61,0.03,0.00
30.01.2019,13:45:00,162.952,163.150,162.810,163.000,676645,160.610,162.534,162.917,1.59,1.60,-0.01,0.00
30.01.2019,14:00:00,163.010,163.200,162.780,163.020,897364,160.788,162.631,162.938,1.54,1.59,-0.05,0.00
