<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
08.02.2018,10:00:00,230.875,233.550,230.750,232.110,883699,229.782,230.837,232.376,0.99,1.30,-0.31,0.00
08.02.2018,10:15:00,232.078,232.370,230.940,231.250,553905,229.890,230.919,232.244,0.95,1.23,-0.28,0.00
08.02.2018,10:30:00,231.200,232.200,230.700,231.130,533949,229.982,230.961,232.103,0.90,1.16,-0.26,0.00
08.02.2018,10:45:00,231.180,231.410,229.641,230.340,621139,230.009,230.837,231.885,0.79,1.09,-0.30,0.00
08.02.2018,11:00:00,230.310,230.385,222.170,225.420,1259854,229.669,229.754,230.768,0.30,0.93,-0.63,0.00
08.02.2018,11:15:00,225.200,227.850,224.750,225.300,638377,229.345,228.863,230.242,-0.09,0.73,-0.82,0.00
08.02.2018,11:30:00,225.250,225.870,221.660,223.617,912078,228.921,227.814,229.439,-0.53,0.48,-1.01,0.00
08.02.2018,11:45:00,223.693,226.700,223.305,225.040,754032,228.633,227.259,228.975,-0.76,0.23,-0.99,0.00
08.02.2018,12:00:00,224.940,226.770,224.050,225.730,447637,228.418,226.953,228.778,-0.88,0.01,-0.88,0.00
08.02.2018,12:15:00,225.770,226.330,223.510,223.940,444972,228.087,226.351,228.577,-1.10,-0.21,-0.88,0.00
08.02.2018,12:30:00,223.890,224.260,222.250,223.780,470005,227.768,225.836,228.317,-1.27,-0.43,-0.85,0.00
08.02.2018,12:45:00,223.730,225.460,222.900,224.092,619293,227.495,225.488,228.045,-1.37,-0.61,-0.76,0.00
08.02.2018,13:00:00,224.022,224.180,221.300,222.260,617152,227.108,224.842,227.740,-1.58,-0.81,-0.77,0.00
08.02.2018,13:15:00,222.330,223.315,221.210,222.400,577574,226.759,224.354,222.314,-1.71,-0.99,-0.72,0.00
08.02.2018,13:30:00,222.360,224.550,222.150,222.675,572046,226.456,224.018,222.622,-1.77,-1.14,-0.63,0.00
08.02.2018,13:45:00,222.570,225.550,222.325,225.335,468311,226.373,224.281,223.005,-1.59,-1.23,-0.36,0.00
08.02.2018,14:00:00,225.390,227.350,225.220,226.560,592957,226.387,224.737,223.843,-1.33,-1.25,-0.08,0.00
08.02.2018,14:15:00,226.430,226.640,224.300,224.750,359630,226.266,224.740,225.530,-1.26,-1.25,-0.00,0.00
08.02.2018,14:30:00,224.820,225.940,223.020,223.325,383977,226.048,224.457,224.883,-1.30,-1.26,-0.04,0.00
08.02.2018,14:45:00,223.290,224.340,222.410,223.420,388229,225.853,224.249,224.362,-1.31,-1.27,-0.04,0.00
08.02.2018,15:00:00,223.538,224.230,222.000,223.090,372544,225.649,224.018,224.078,-1.33,-1.28,-0.04,0.00
08.02.2018,15:15:00,223.170,224.510,222.256,222.730,443740,225.432,223.760,223.870,-1.36,-1.30,-0.06,0.00
08.02.2018,15:30:00,222.740,224.170,222.000,222.980,585948,225.251,223.604,223.663,-1.34,-1.31,-0.04,0.00
08.02.2018,15:45:00,223.000,224.040,219.210,221.540,1355043,224.976,223.191,223.065,-1.43,-1.33,-0.10,0.00
08.02.2018,16:00:00,221.540,221.540,217.510,217.730,1603396,224.439,222.099,222.048,-1.79,-1.42,-0.37,0.00
09.02.2018,09:45:00,238.250,238.890,226.060,231.548,4807617,224.966,223.989,233.687,-0.95,-1.33,0.38,0.00
09.02.2018,10:00:00,231.370,234.830,228.680,233.575,2361554,225.603,225.906,233.169,-0.11,-1.09,0.97,0.00
09.02.2018,10:15:00,233.840,235.200,228.500,230.030,1806212,225.931,226.731,232.912,0.26,-0.82,1.07,0.00
09.02.2018,10:30:00,230.030,232.750,228.500,231.260,1240768,226.326,227.637,232.635,0.64,-0.53,1.17,0.00
09.02.2018,10:45:00,231.130,232.600,225.690,225.840,1165583,226.290,227.277,232.244,0.50,-0.32,0.82,0.00
09.02.2018,11:00:00,225.875,226.972,219.000,223.600,2632621,226.091,226.542,230.670,0.21,-0.21,0.43,0.00
09.02.2018,11:15:00,223.734,227.949,223.500,226.550,912585,226.125,226.543,230.349,0.22,-0.13,0.34,0.00
09.02.2018,11:30:00,226.587,226.630,223.260,224.100,674279,225.975,226.055,230.124,0.02,-0.10,0.12,0.00
09.02.2018,11:45:00,224.216,227.670,223.810,226.785,743979,226.035,226.201,229.919,0.08,-0.06,0.14,0.00
09.02.2018,12:00:00,226.657,227.000,223.630,224.296,522396,225.906,225.820,229.779,-0.07,-0.06,-0.01,0.00
09.02.2018,12:15:00,224.186,224.940,221.650,221.970,902495,225.614,225.050,229.444,-0.37,-0.12,-0.25,0.00
09.02.2018,12:30:00,221.946,224.700,220.320,220.894,952644,225.265,224.219,229.064,-0.69,-0.24,-0.45,0.00
09.02.2018,12:45:00,220.895,222.720,219.120,219.200,879995,224.816,223.215,228.679,-1.07,-0.40,-0.66,0.00
09.02.2018,13:00:00,219.279,225.000,217.520,222.900,1422223,224.674,223.152,228.171,-1.06,-0.53,-0.52,0.00
09.02.2018,13:15:00,222.850,224.216,220.550,221.570,805817,224.444,222.836,222.296,-1.14,-0.66,-0.49,0.00
09.02.2018,13:30:00,221.450,224.320,220.450,221.360,596043,224.215,222.540,222.126,-1.21,-0.77,-0.44,0.00
09.02.2018,13:45:00,221.092,223.484,220.570,222.510,487926,224.089,222.534,222.071,-1.16,-0.85,-0.32,0.00
09.02.2018,14:00:00,222.453,228.960,221.960,227.580,1348414,224.348,223.543,223.390,-0.70,-0.82,0.11,0.00
09.02.2018,14:15:00,227.650,234.110,226.661,231.675,2080836,224.890,225.170,230.024,-0.01,-0.66,0.65,0.00
09.02.2018,14:30:00,231.730,233.500,227.600,227.990,1317495,225.120,225.734,230.094,0.24,-0.48,0.72,0.00
09.02.2018,14:45:00,228.140,230.050,226.550,229.160,1042936,225.419,226.419,229.714,0.52,-0.28,0.80,0.00
09.02.2018,15:00:00,229.160,231.300,227.870,229.719,666012,225.738,227.079,229.688,0.79,-0.07,0.85,0.00
09.02.2018,15:15:00,229.720,230.040,226.260,229.930,941371,226.048,227.649,229.579,1.00,0.15,0.85,0.00
09.02.2018,15:30:00,229.960,230.920,228.660,230.130,765971,226.351,228.145,229.617,1.17,0.35,0.82,0.00
09.02.2018,15:45:00,230.130,232.780,229.300,232.775,1164378,226.827,229.071,229.855,1.50,0.58,0.92,0.00
09.02.2018,16:00:00,232.730,233.500,230.620,231.460,2116581,227.170,229.549,230.321,1.64,0.79,0.85,0.00
12.02.2018,09:45:00,235.310,235.480,232.890,234.430,1828171,227.708,230.525,234.528,1.97,1.03,0.94,0.00
12.02.2018,10:00:00,234.480,234.880,229.550,230.470,1633071,227.912,230.514,233.498,1.89,1.20,0.69,0.00
12.02.2018,10:15:00,230.490,231.810,228.370,228.420,1802628,227.950,230.095,232.222,1.64,1.29,0.35,0.00
12.02.2018,10:30:00,228.470,229.470,226.050,227.290,1910791,227.901,229.534,231.050,1.33,1.30,0.04,0.00
12.02.2018,10:45:00,227.260,228.230,225.220,226.080,1564144,227.766,228.843,230.271,0.98,1.23,-0.25,0.00
12.02.2018,11:00:00,226.070,227.790,225.860,227.605,1052295,227.754,228.596,229.901,0.82,1.15,-0.33,0.00
12.02.2018,11:15:00,227.600,228.830,226.270,227.610,931959,227.743,228.399,229.699,0.68,1.06,-0.38,0.00
12.02.2018,11:30:00,227.560,228.710,226.325,227.940,583429,227.758,228.307,229.593,0.59,0.96,-0.37,0.00
12.02.2018,11:45:00,227.920,229.890,227.200,228.850,749539,227.839,228.415,229.522,0.59,0.89,-0.30,0.00
12.02.2018,12:00:00,228.930,229.210,227.450,228.697,593957,227.902,228.472,229.478,0.57,0.82,-0.26,0.00
12.02.2018,12:15:00,228.700,228.790,226.810,228.270,539594,227.930,228.431,229.423,0.51,0.76,-0.25,0.00
12.02.2018,12:30:00,228.320,228.490,227.060,227.790,461014,227.919,228.303,229.372,0.42,0.69,-0.27,0.00
12.02.2018,12:45:00,227.750,227.970,226.000,226.250,594429,227.796,227.893,229.273,0.22,0.60,-0.38,0.00
12.02.2018,13:00:00,226.250,227.400,226.200,226.960,443469,227.734,227.706,229.195,0.12,0.50,-0.38,0.00
12.02.2018,13:15:00,227.160,227.390,225.700,226.107,425453,227.613,227.386,226.589,-0.03,0.40,-0.42,0.00
12.02.2018,13:30:00,226.020,226.340,225.030,226.110,644214,227.502,227.131,226.159,-0.14,0.29,-0.43,0.00
12.02.2018,13:45:00,226.110,226.890,225.630,225.870,455582,227.381,226.879,226.149,-0.25,0.18,-0.43,0.00
12.02.2018,14:00:00,225.939,227.170,225.110,226.620,657887,227.325,226.827,226.167,-0.27,0.09,-0.36,0.00
12.02.2018,14:15:00,226.630,227.117,225.850,226.260,443772,227.246,226.714,226.464,-0.32,0.01,-0.32,0.00
12.02.2018,14:30:00,226.280,228.600,225.800,228.495,831603,227.338,227.070,227.005,-0.17,-0.03,-0.14,0.00
12.02.2018,14:45:00,228.480,230.600,228.010,229.900,1303587,227.528,227.636,228.139,0.06,-0.01,0.07,0.00
12.02.2018,15:00:00,229.892,230.210,228.680,229.583,734742,227.680,228.025,228.461,0.22,0.04,0.18,0.00
12.02.2018,15:15:00,229.690,230.990,229.510,230.750,560358,227.908,228.570,228.717,0.43,0.11,0.31,0.00
12.02.2018,15:30:00,230.730,230.880,228.890,229.172,622226,228.001,228.691,228.883,0.46,0.18,0.28,0.00
12.02.2018,15:45:00,229.150,229.470,227.810,228.590,611482,228.045,228.670,228.868,0.44,0.24,0.20,0.00
12.02.2018,16:00:00,228.500,228.500,226.780,228.020,1107302,228.043,228.540,228.705,0.37,0.26,0.11,0.00
13.02.2018,09:45:00,226.560,230.640,225.250,229.250,1749783,228.132,228.682,227.925,0.41,0.29,0.12,0.00
13.02.2018,10:00:00,229.340,232.200,229.120,231.834,1244680,228.407,229.313,229.047,0.64,0.36,0.28,0.00
13.02.2018,10:15:00,231.835,233.630,231.700,233.370,1177647,228.774,230.124,230.059,0.94,0.48,0.46,0.00
13.02.2018,10:30:00,233.370,234.000,232.167,232.750,845680,229.069,230.649,230.567,1.11,0.60,0.51,0.00
13.02.2018,10:45:00,232.755,233.230,231.330,232.040,653434,229.289,230.927,230.771,1.18,0.72,0.46,0.00
13.02.2018,11:00:00,232.056,232.800,231.750,232.180,307142,229.503,231.178,230.844,1.23,0.82,0.41,0.00
13.02.2018,11:15:00,232.130,233.295,231.500,233.180,487426,229.775,231.578,230.971,1.33,0.92,0.41,0.00
13.02.2018,11:30:00,233.150,233.550,232.540,232.912,347424,230.008,231.845,231.076,1.38,1.01,0.36,0.00
13.02.2018,11:45:00,232.940,233.330,231.750,231.869,381490,230.146,231.850,231.150,1.31,1.07,0.24,0.00
13.02.2018,12:00:00,231.850,232.530,231.660,232.135,315123,230.293,231.907,231.188,1.27,1.11,0.16,0.00
13.02.2018,12:15:00,232.100,232.730,231.910,232.712,244476,230.472,232.068,231.225,1.27,1.14,0.12,0.00
13.02.2018,12:30:00,232.730,232.940,231.690,232.170,248518,230.598,232.088,231.261,1.21,1.16,0.05,0.00
13.02.2018,12:45:00,232.153,232.260,230.920,231.790,326659,230.686,232.029,231.281,1.12,1.15,-0.03,0.00
13.02.2018,13:00:00,231.815,232.460,231.410,231.770,218412,230.767,231.977,231.296,1.03,1.13,-0.09,0.00
13.02.2018,13:15:00,231.770,233.120,231.760,233.080,314488,230.938,232.198,232.433,1.06,1.11,-0.05,0.00
13.02.2018,13:30:00,233.130,233.400,232.590,233.010,367213,231.091,232.360,232.756,1.06,1.10,-0.04,0.00
13.02.2018,13:45:00,233.070,233.440,233.000,233.240,258466,231.251,232.536,232.874,1.07,1.09,-0.03,0.00
13.02.2018,14:00:00,233.195,233.750,232.900,233.460,305287,231.414,232.721,232.985,1.08,1.09,-0.01,0.00
