<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
08.04.2020,14:45:00,547.98,549.43,546.30,546.57,268252,545.82,546.51,546.66,0.71,1.10,-0.39,0.00
08.04.2020,15:00:00,546.44,547.33,544.50,546.57,261636,545.88,546.52,546.54,0.66,1.02,-0.35,0.00
08.04.2020,15:15:00,546.40,548.07,545.76,546.14,224092,545.90,546.45,546.55,0.58,0.93,-0.35,0.00
08.04.2020,15:30:00,546.08,546.90,544.00,545.60,193596,545.88,546.28,546.42,0.47,0.84,-0.37,0.00
08.04.2020,15:45:00,545.66,547.94,543.31,546.42,280392,545.92,546.31,546.33,0.44,0.76,-0.32,0.00
08.04.2020,16:00:00,546.20,550.40,545.38,548.70,497751,546.12,546.78,546.63,0.59,0.72,-0.13,0.00
09.04.2020,09:45:00,562.37,575.18,557.11,573.92,1540284,548.18,552.21,567.15,2.72,1.12,1.60,0.00
09.04.2020,10:00:00,574.16,574.19,566.01,570.28,721360,549.82,555.83,568.43,4.06,1.71,2.35,0.00
09.04.2020,10:15:00,570.01,573.46,564.41,564.74,505826,550.92,557.61,568.38,4.63,2.29,2.33,0.00
09.04.2020,10:30:00,564.61,566.56,559.30,565.78,594278,552.02,559.24,567.61,5.10,2.86,2.25,0.00
09.04.2020,10:45:00,565.77,569.74,564.58,567.38,354695,553.16,560.87,567.54,5.54,3.39,2.15,0.00
09.04.2020,11:00:00,567.50,568.00,563.19,566.02,241725,554.11,561.90,567.46,5.72,3.86,1.86,0.00
09.04.2020,11:15:00,566.01,566.01,562.50,563.41,230477,554.80,562.20,567.30,5.58,4.20,1.38,0.00
09.04.2020,11:30:00,563.67,564.57,561.10,563.96,272224,555.48,562.55,567.05,5.45,4.45,1.00,0.00
09.04.2020,11:45:00,563.81,568.26,562.75,567.86,267545,556.40,563.61,566.97,5.60,4.68,0.92,0.00
09.04.2020,12:00:00,567.97,569.40,566.52,569.24,322022,557.35,564.74,567.06,5.76,4.90,0.86,0.00
09.04.2020,12:15:00,569.04,571.00,567.86,569.69,288458,558.26,565.73,567.18,5.86,5.09,0.77,0.00
09.04.2020,12:30:00,569.57,571.22,567.29,567.46,203688,558.94,566.08,567.25,5.69,5.21,0.48,0.00
09.04.2020,12:45:00,567.32,569.00,566.30,568.67,174102,559.67,566.59,567.26,5.59,5.29,0.31,0.00
09.04.2020,13:00:00,568.60,570.37,567.60,569.74,131870,560.41,567.22,567.31,5.54,5.34,0.20,0.00
09.04.2020,13:15:00,569.74,571.70,569.00,569.92,168046,561.12,567.76,570.09,5.44,5.36,0.08,0.00
09.04.2020,13:30:00,570.00,570.37,568.56,569.53,116512,561.74,568.12,569.90,5.28,5.34,-0.06,0.00
09.04.2020,13:45:00,569.59,571.00,568.71,569.56,138506,562.32,568.41,569.84,5.09,5.29,-0.20,0.00
09.04.2020,14:00:00,569.63,574.47,568.33,572.91,293557,563.10,569.31,570.45,5.15,5.26,-0.11,0.00
09.04.2020,14:15:00,572.73,573.74,569.51,570.11,245357,563.62,569.47,571.52,4.92,5.19,-0.28,0.00
09.04.2020,14:30:00,569.88,570.44,567.00,568.78,221342,564.00,569.33,570.34,4.57,5.07,-0.50,0.00
09.04.2020,14:45:00,569.00,571.34,568.61,570.35,168127,564.47,569.53,570.20,4.37,4.93,-0.56,0.00
09.04.2020,15:00:00,570.46,571.59,564.11,568.28,358878,564.76,569.28,569.63,4.01,4.75,-0.74,0.00
09.04.2020,15:15:00,568.04,570.86,566.13,569.69,249779,565.12,569.36,569.44,3.78,4.55,-0.77,0.00
09.04.2020,15:30:00,569.87,571.03,568.10,570.56,187892,565.52,569.60,569.50,3.63,4.37,-0.73,0.00
09.04.2020,15:45:00,570.48,571.75,568.87,570.86,253029,565.92,569.85,569.65,3.50,4.20,-0.69,0.00
09.04.2020,16:00:00,570.87,573.01,569.01,573.01,526960,566.44,570.49,570.08,3.53,4.06,-0.53,0.00
13.04.2020,09:45:00,591.11,591.46,581.36,582.11,971136,567.61,572.81,586.51,4.23,4.10,0.14,0.00
13.04.2020,10:00:00,582.55,593.65,580.53,589.15,795521,569.20,576.08,586.49,5.30,4.34,0.96,0.00
13.04.2020,10:15:00,589.09,605.00,588.40,599.55,1055500,571.45,580.77,589.86,6.91,4.85,2.06,0.00
13.04.2020,10:30:00,599.61,599.88,592.48,599.22,524858,573.51,584.46,591.11,8.06,5.49,2.57,0.00
13.04.2020,10:45:00,599.14,601.19,596.04,596.77,375784,575.23,586.92,591.83,8.68,6.13,2.55,0.00
13.04.2020,11:00:00,597.15,603.90,596.86,602.42,441048,577.24,590.02,592.71,9.51,6.81,2.70,0.00
13.04.2020,11:15:00,602.25,603.68,598.39,602.26,373673,579.10,592.47,593.44,10.04,7.45,2.59,0.00
13.04.2020,11:30:00,602.21,611.62,602.10,611.00,693068,581.46,596.18,595.20,11.04,8.17,2.87,0.00
13.04.2020,11:45:00,610.73,614.75,607.04,614.25,541817,583.89,599.79,596.75,11.96,8.93,3.03,0.00
13.04.2020,12:00:00,614.49,621.67,614.40,616.69,837841,586.32,603.17,599.29,12.74,9.69,3.05,0.00
13.04.2020,12:15:00,616.84,635.00,615.50,633.23,1121147,589.79,609.18,603.04,14.52,10.66,3.86,0.00
13.04.2020,12:30:00,633.16,633.24,624.21,624.40,609827,592.36,612.23,604.92,15.05,11.53,3.51,0.00
13.04.2020,12:45:00,624.39,629.55,621.17,628.89,645298,595.06,615.56,606.44,15.65,12.36,3.29,0.00
13.04.2020,13:00:00,628.98,630.79,625.52,629.24,281327,597.59,618.30,607.11,15.96,13.08,2.89,0.00
13.04.2020,13:15:00,629.00,630.56,626.64,627.00,262701,599.77,620.04,628.30,15.85,13.63,2.22,0.00
13.04.2020,13:30:00,627.19,627.76,623.28,625.72,207201,601.69,621.17,627.28,15.49,14.00,1.48,0.00
13.04.2020,13:45:00,625.84,633.76,625.21,631.72,347135,603.92,623.28,628.07,15.50,14.30,1.20,0.00
13.04.2020,14:00:00,632.00,639.00,630.66,635.69,499128,606.27,625.76,630.45,15.65,14.57,1.08,0.00
13.04.2020,14:15:00,636.00,641.30,636.00,638.00,487388,608.62,628.21,637.83,15.77,14.81,0.96,0.00
13.04.2020,14:30:00,637.88,640.27,636.50,637.94,345513,610.79,630.16,637.96,15.68,14.99,0.70,0.00
13.04.2020,14:45:00,638.25,638.94,635.63,636.82,276658,612.72,631.49,637.82,15.35,15.06,0.29,0.00
13.04.2020,15:00:00,636.77,645.98,636.63,644.16,615831,615.05,634.02,638.92,15.49,15.15,0.35,0.00
13.04.2020,15:15:00,644.01,644.93,638.33,638.46,375911,616.78,634.91,639.37,14.98,15.11,-0.13,0.00
13.04.2020,15:30:00,638.44,642.50,637.50,640.44,363028,618.54,636.02,639.42,14.56,15.00,-0.44,0.00
13.04.2020,15:45:00,640.26,649.00,639.55,648.84,610260,620.78,638.58,640.41,14.74,14.95,-0.21,0.00
13.04.2020,16:00:00,648.94,652.00,646.24,650.99,1049825,623.02,641.06,642.73,14.88,14.94,-0.05,0.00
14.04.2020,09:45:00,698.90,727.98,692.43,726.11,2961143,630.66,658.07,711.36,20.81,16.11,4.70,0.00
14.04.2020,10:00:00,726.35,737.59,722.86,729.93,1874997,638.01,672.44,718.27,25.53,18.00,7.54,0.00
14.04.2020,10:15:00,729.93,737.00,722.07,732.39,1157266,645.00,684.43,720.60,29.13,20.22,8.91,0.00
14.04.2020,10:30:00,732.55,741.88,728.33,732.09,1028351,651.45,693.96,722.52,31.60,22.50,9.10,0.00
14.04.2020,10:45:00,732.45,737.30,729.55,735.22,597624,657.66,702.22,723.39,33.42,24.68,8.74,0.00
14.04.2020,11:00:00,735.12,737.21,727.25,727.50,542159,662.83,707.27,723.95,33.85,26.52,7.33,0.00
14.04.2020,11:15:00,727.55,729.00,706.56,714.72,1398333,666.67,708.76,723.29,32.78,27.77,5.01,0.00
14.04.2020,11:30:00,714.81,725.10,714.19,724.03,782544,670.92,711.82,723.01,32.31,28.68,3.64,0.00
14.04.2020,11:45:00,723.97,727.17,722.00,723.98,534379,674.85,714.25,723.07,31.57,29.26,2.32,0.00
14.04.2020,12:00:00,723.96,733.84,723.55,729.67,625659,678.91,717.33,723.32,31.09,29.62,1.47,0.00
14.04.2020,12:15:00,729.68,734.95,725.79,727.09,473898,682.48,719.28,723.56,30.15,29.73,0.42,0.00
14.04.2020,12:30:00,727.17,733.00,727.10,729.05,356446,685.93,721.24,723.72,29.23,29.63,-0.40,0.00
14.04.2020,12:45:00,729.11,736.98,728.45,733.84,471101,689.48,723.76,724.03,28.55,29.41,-0.86,0.00
14.04.2020,13:00:00,734.01,736.30,731.81,733.81,282649,692.76,725.77,724.25,27.70,29.07,-1.37,0.00
14.04.2020,13:15:00,733.75,733.87,728.52,730.68,276035,695.57,726.75,731.70,26.46,28.55,-2.09,0.00
14.04.2020,13:30:00,730.70,733.38,727.99,732.38,277306,698.30,727.88,731.41,25.32,27.90,-2.58,0.00
14.04.2020,13:45:00,732.41,735.94,731.49,732.72,271557,700.85,728.85,731.98,24.17,27.16,-2.98,0.00
14.04.2020,14:00:00,732.84,738.68,732.63,736.32,382078,703.48,730.34,732.97,23.28,26.38,-3.10,0.00
14.04.2020,14:15:00,736.55,736.75,727.30,728.80,458119,705.35,730.03,732.35,21.72,25.45,-3.73,0.00
14.04.2020,14:30:00,728.77,733.52,727.79,727.83,301646,707.02,729.59,731.21,20.17,24.40,-4.22,0.00
14.04.2020,14:45:00,728.31,729.89,719.20,719.47,589795,707.94,727.57,728.15,18.06,23.13,-5.07,0.00
14.04.2020,15:00:00,719.51,726.89,712.41,724.33,722821,709.15,726.92,725.58,16.59,21.82,-5.23,0.00
14.04.2020,15:15:00,724.49,724.55,715.24,718.61,372741,709.85,725.26,724.84,14.79,20.42,-5.62,0.00
14.04.2020,15:30:00,718.86,718.86,709.00,715.30,658464,710.26,723.27,722.86,12.95,18.92,-5.97,0.00
14.04.2020,15:45:00,714.93,717.98,711.80,713.67,443491,710.51,721.35,721.83,11.23,17.39,-6.15,0.00
14.04.2020,16:00:00,713.69,714.71,702.77,709.76,995301,710.45,719.03,719.29,9.44,15.80,-6.35,0.00
15.04.2020,09:45:00,742.00,753.13,726.64,735.27,2301891,712.29,722.28,739.26,9.97,14.63,-4.66,0.00
15.04.2020,10:00:00,736.00,742.00,730.90,736.82,1004890,714.11,725.19,738.40,10.39,13.78,-3.39,0.00
15.04.2020,10:15:00,736.82,747.78,733.01,744.25,852743,716.34,729.00,738.82,11.20,13.27,-2.07,0.00
